img_path,label,description
Dubai-landscape/852.jpg,Dubai-landscape,a large building with a clock on it
Rabat-landscape/78.jpg,Rabat-landscape,a statue of a man in front of a stone building
Moscow-Landscape/349.jpg,Moscow-Landscape,a tree lined street with a fence and a fence post
Hanoi-Landscape/46.jpg,Hanoi-Landscape,a city at night with a large body of water
Roma-Landscape/965.jpg,Roma-Landscape,a large stone structure with a large group of people inside of it
Amsterdam-Landscape/907.jpg,Amsterdam-Landscape,a large building with a clock on the side of it
Dubai-landscape/201.jpg,Dubai-landscape,a man is flying a kite on the beach
Moscow-Landscape/896.jpg,Moscow-Landscape,a city with a lot of buildings and a large body of water
Roma-Landscape/738.jpg,Roma-Landscape,a large building with a clock at the top of it
Paris-Landscape/166.jpg,Paris-Landscape,a table that has some food on it
London-landscape/283.jpg,London-landscape,a building with a clock on the front of it
Maldives-landscape/894.jpg,Maldives-landscape,a blue and white photo of a large blue and white boat
Dubai-landscape/900.jpg,Dubai-landscape,a living room filled with furniture and a large window
Newyork-landscape/464.jpg,Newyork-landscape,a train going down the tracks at night
Maldives-landscape/836.jpg,Maldives-landscape,a collage of photos showing a train on a map
Venezia-landscape/287.jpg,Venezia-landscape,boats are docked in the water near a building
Dubai-landscape/529.webp,Dubai-landscape,a flower arrangement in the middle of a sidewalk
Maldives-landscape/965.jpg,Maldives-landscape,a person riding a bike down a street
Kyoto-Landscape/853.jpg,Kyoto-Landscape,a man standing on top of a large body of water
Roma-Landscape/170.jpg,Roma-Landscape,a large building with a large clock on top of it
Sydney-landscape/406.jpg,Sydney-landscape,a park with trees and a street sign
Dubai-landscape/655.jpg,Dubai-landscape,a large body of water with a city skyline
Hanoi-Landscape/1226.jpg,Hanoi-Landscape,a large stone building with a clock on it
Newyork-landscape/584.jpg,Newyork-landscape,a train is stopped at a train station
Maldives-landscape/20.png,Maldives-landscape,a beach with palm trees and palm trees
London-landscape/932.jpg,London-landscape,a large building with a clock on the front of it
Maldives-landscape/300.jpg,Maldives-landscape,a man standing at the edge of the ocean with a surfboard
Hanoi-Landscape/1011.jpg,Hanoi-Landscape,a large group of people standing in front of a monument
Moscow-Landscape/835.jpg,Moscow-Landscape,a large building with a clock on the front of it
Singapore-landscape/408.jpg,Singapore-landscape,a city street filled with lots of traffic
Kyoto-Landscape/736.jpg,Kyoto-Landscape,people walking down a sidewalk in a city
Newyork-landscape/152.png,Newyork-landscape,a city with tall buildings and a clock tower
Amsterdam-Landscape/596.jpg,Amsterdam-Landscape,a city street with a river and trees
Sydney-landscape/974.jpg,Sydney-landscape,a man sitting on a bench in front of a large building
Venezia-landscape/141.jpg,Venezia-landscape,a water hole in the middle of a building
Dubai-landscape/688.png,Dubai-landscape,a lush green field with palm trees and palm trees
London-landscape/433.jpg,London-landscape,a bridge over a river with a large clock tower
Roma-Landscape/375.jpg,Roma-Landscape,a river with a bridge over it
Venezia-landscape/396.jpg,Venezia-landscape,a person riding a boat in the middle of a river
Venezia-landscape/62.jpg,Venezia-landscape,a person on a boat in a body of water
Maldives-landscape/121.jpg,Maldives-landscape,a beach with palm trees and palm trees
Dubai-landscape/893.jpg,Dubai-landscape,a large building with a clock on top of it
Rabat-landscape/843.jpg,Rabat-landscape,a statue of a man walking down a street next to a building
Moscow-Landscape/509.jpg,Moscow-Landscape,a large building with a clock on top of it
